ZIPcode,Population,state,income_density,family_density,Total_Visit_lowes_density,store_type
37388,25305,TN,18.4077455,0.824105908,0,1
37716,24954,TN,18.39432556,0.814178088,0,1
37804,24901,TN,18.99787157,0.813782579,0,1
33707,24846,FL,22.24297674,0.632294937,0,1
33569,24724,FL,27.18577091,0.895728846,0,1
33570,24698,FL,22.19657462,0.859381326,0,1
33166,24522,FL,27.08669766,0.755321752,0,1
37415,24493,TN,22.87669947,0.723961948,0,1
36109,24430,AL,15.52030291,0.824109701,0,1
33327,24258,FL,39.26976667,0.971720669,0,1
32233,24244,FL,30.20169939,0.701163174,0,1
32043,24241,FL,32.35910235,0.822449569,0,1
32927,24179,FL,22.69713388,0.832085694,0,1
32563,24046,FL,28.48382267,0.848665059,36.28266656,1
34471,23968,FL,24.15896195,0.777787049,0,1
34638,23962,FL,38.54953677,0.91223604,0,1
38104,23957,TN,25.96543808,0.480861544,0,1
33703,23885,FL,36.21444421,0.793259368,0,1
35124,23805,AL,29.06469229,0.858811174,0,1
35613,23796,AL,26.38313162,0.794755421,0,1
32953,23783,FL,24.1011647,0.785645209,0,1
33130,23757,FL,32.19514248,0.660647388,0,1
32606,23739,FL,27.20944437,0.788407262,0,1
33967,23729,FL,24.63639429,0.832525602,0,1
33331,23703,FL,41.42361726,0.952031388,34.00902839,1
33543,23490,FL,44.17986377,0.900297999,0,1
37138,23408,TN,25.13499658,0.845394737,0,1
33140,23381,FL,44.70835294,0.771908815,0,1
33314,23341,FL,23.20993102,0.749882182,0,1
32605,23291,FL,26.24485853,0.789532437,0,1
33486,23249,FL,34.57959482,0.804120607,0,1
37148,23041,TN,20.92552407,0.88932772,0,1
38119,22925,TN,28.80109051,0.749269357,0,1
32750,22903,FL,26.24210802,0.852726717,0,1
33446,22853,FL,39.18745898,0.715748479,0,1
35801,22813,AL,33.71415421,0.703853066,0,1
32308,22799,FL,25.28764419,0.71248739,47.78696434,1
33137,22789,FL,38.62100136,0.657290798,0,1
33547,22670,FL,43.60260256,0.922320247,0,1
37334,22630,TN,17.28762704,0.815598763,0,1
38141,22612,TN,16.13254024,0.892888732,0,1
